adcode,name,longitude,latitude
3.50E+11,永泰县,118.932592,25.866694
4.21E+11,黄冈市,114.872199,30.453667
3.71E+11,河口区,118.525543,37.886162
1.41E+11,神池县,112.211296,39.090552
2.10E+11,市辖区,,
3.70E+11,胶州市,120.033382,36.26468
6.33E+11,玉树市,97.008784,32.993106
2.20E+11,二道区,125.374327,43.865577
3.61E+11,市辖区,,
4.21E+11,长阳土家族自治县,111.207242,30.472763
1.40E+11,阳高县,113.748944,40.361059
3.61E+11,青原区,115.014811,27.081977
4.50E+11,全州县,111.072946,25.928387
1.31E+11,蔚县,114.588903,39.840842
3.61E+11,靖安县,115.362628,28.861478
1.40E+11,城区,113.123088,36.20353
4.10E+11,洛龙区,112.463833,34.619711
3.41E+11,灵璧县,117.549395,33.554604
1.51E+11,鄂伦春自治旗,123.726201,50.591842
6.50E+11,乌鲁木齐市,87.616848,43.825592
6.21E+11,民勤县,103.093791,38.62435
4.10E+11,巩义市,113.022406,34.7481
2.11E+11,彰武县,122.538793,42.386543
5.10E+11,青羊区,104.061442,30.673914
3.30E+11,余姚市,121.154629,30.037106
3.40E+11,凤台县,116.71105,32.709444
1.31E+11,涿州市,115.974422,39.485282
4.50E+11,兴安县,110.67167,25.611704
6.11E+11,佳县,110.491345,38.01951
2.30E+11,巴彦县,127.403781,46.086549
3.20E+11,宜兴市,119.823308,31.340637
6.33E+11,格尔木市,94.928453,36.406367
6.53E+11,库车县,82.987312,41.714696
4.30E+11,常宁市,112.399878,26.421956
5.40E+11,拉萨市,91.172148,29.652341
5.11E+11,古蔺县,105.812601,28.038801
4.45E+11,新兴县,112.225334,22.69569
3.41E+11,大观区,117.013469,30.553697
3.30E+11,桐庐县,119.691467,29.79299
4.51E+11,港北区,109.57224,23.11153
5.11E+11,旌阳区,104.416966,31.142633
5.12E+11,雁江区,104.677091,30.108216
5.11E+11,绵竹市,104.22075,31.338077
5.23E+11,长顺县,106.441805,26.025626
6.11E+11,镇巴县,107.895035,32.536704
2.11E+11,大洼区,122.082574,41.002279
6.11E+11,榆阳区,109.721069,38.277046
4.10E+11,二七区,113.640211,34.724114
4.11E+11,许昌市,113.852454,34.035771
6.21E+11,肃州区,98.507843,39.744953
1.40E+11,左云县,112.703008,40.013442
5.20E+11,修文县,106.592108,26.838926
6.21E+11,镇原县,107.200832,35.677462
3.21E+11,邗江区,119.397994,32.377655
6.40E+11,石嘴山市,106.383303,38.983236
1.41E+11,祁县,112.335542,37.357869
5.13E+11,金川县,102.063829,31.476277
3.20E+11,丰县,116.59539,34.693906
3.21E+11,扬中市,119.797634,32.23483
5.13E+11,白玉县,98.824182,31.209913
3.61E+11,万安县,114.759364,26.456553
5.11E+11,平武县,104.555583,32.409675
3.21E+11,仪征市,119.184766,32.272258
5.40E+11,林芝市,94.36149,29.649128
5.40E+11,城关区,91.140552,29.654838
6.11E+11,市辖区,,
1.41E+11,市辖区,,
2.31E+11,郊区,130.327194,46.810085
